x, y, z
26198.06,3053.76,9.61
26204.92,3049.16,101.15
26185.58,3059.44,56.17
26224.01,3038.18,151.27
26206.44,3064.78,120.30
26218.57,3042.79,94.81
26221.16,3058.35,-75.37
26180.90,3041.03,31.80
26193.78,3058.56,-32.28
26199.27,3048.59,44.16
26251.80,3013.29,79.21
26208.68,3036.82,89.37
26221.51,3039.95,151.80
26206.75,3041.44,29.42
27330.86,4490.41,322.54
27341.38,4501.45,124.55
26212.73,3025.20,72.96
26202.34,3052.32,-79.31
26190.65,3051.98,100.41
26185.49,3066.66,12.06
26198.37,3055.14,82.06
26203.11,3049.69,112.45
26190.16,3052.90,72.95
26221.15,3024.33,53.25
26212.47,3038.86,58.21
26236.18,3030.22,48.92
26188.92,3046.29,100.69
26181.58,3042.64,143.15
26240.07,3024.44,37.79
26251.96,3031.97,60.81
26235.74,3045.83,4.94
26230.33,3041.46,64.12
26217.20,3024.34,144.67
26222.53,3032.71,92.29
26187.54,3041.52,31.14
26228.81,3035.96,52.90
26195.46,3035.96,227.98
26190.94,3047.05,107.02
26202.20,3029.69,162.64
26181.13,3049.75,75.00
26199.91,3039.91,50.34
26205.96,3034.27,27.51
26206.42,3047.97,83.49
26201.38,3020.18,-37.35
26198.01,3021.60,83.88
26198.07,3025.34,300.53
26192.17,3037.03,56.62
26226.17,3038.56,112.59
26207.22,3025.99,61.37
26211.18,3019.72,45.31
26225.11,3019.56,75.20
26226.64,3004.16,67.87
26238.21,3032.62,26.25
26226.68,3028.86,190.00
26214.80,3023.14,27.16
26248.43,3009.88,-57.43
26219.45,3029.46,54.41
26256.22,3019.48,62.53
26227.03,3023.86,31.48
26210.95,3035.10,197.98
26230.27,3026.51,103.20
26222.88,3031.62,-18.21
26234.86,3022.49,68.82
26244.04,3029.86,36.89
26224.79,3012.87,75.15
26242.67,3036.29,130.45
26249.30,3015.29,33.06
26224.20,3022.41,103.65
26255.28,3013.34,69.86
26236.67,3020.47,169.00
26250.46,3020.07,159.13
26224.08,3040.54,182.61
26236.41,3025.92,-200.33
26250.75,3041.53,84.77
26231.37,3028.25,165.00
26241.90,3038.65,72.23
26244.03,3030.27,436.32
26220.86,3064.17,82.41
27320.59,4471.41,283.08
26230.29,3045.97,-21.89
26247.09,3048.95,67.04
26241.03,3049.32,25.65
26240.12,3030.36,85.84
26248.52,3036.80,33.08
26241.42,3048.81,80.38
26242.22,3032.20,75.61
26242.63,3030.22,25.70
26227.00,3021.55,48.87
26231.43,3061.72,-116.74
26245.27,3008.89,46.67
26251.19,3047.23,37.55
26239.46,3041.58,-98.97
26241.99,3050.38,79.06
26237.69,3040.82,105.85
26228.13,3037.43,38.97
26257.08,3043.01,-95.77
26255.64,3032.31,122.24
26258.19,3045.65,71.73
26249.59,3006.81,119.24
26256.05,3018.85,33.43
26244.27,3025.57,41.54
26265.06,3016.84,4.11
26261.31,3029.86,58.43
26233.32,3038.91,84.73
26252.52,3054.97,61.41
26242.64,3046.48,68.25
26242.47,3051.62,42.12
26236.65,3034.88,98.17
26243.83,3030.91,68.35
26264.19,3040.31,66.78
26226.44,3053.27,75.00
26213.32,3036.65,69.31
26191.01,3055.08,202.20
26205.05,3029.62,156.42
26241.66,3018.49,83.89
26245.99,3031.12,141.34
26230.55,3056.69,90.88
26246.11,3029.37,70.75
26241.56,3046.59,61.88
26232.21,3076.44,93.63
26229.26,3006.22,-92.46
26213.04,3024.10,89.62
26247.72,3024.58,40.43
26239.36,3006.06,68.26
26216.08,3019.97,72.30
26222.56,3029.17,39.03
26217.01,3017.54,112.61
26221.46,3018.19,61.17
26203.06,3023.92,71.09
26202.64,3026.97,102.06
26188.29,3032.34,-34.48
26209.99,3045.45,49.98
26235.50,3054.40,115.26
26195.32,3035.75,-43.38
26233.49,3040.01,66.25
26210.98,3044.04,153.53
26209.76,3028.15,83.61
26201.31,3039.15,28.99
26210.31,3037.71,105.73
26248.82,3039.07,73.13
26238.47,3034.80,71.98
26260.67,3030.65,96.85
26239.08,3018.88,80.13
27288.43,4549.61,276.46
26220.88,3039.85,67.02
26228.35,3034.27,34.95
26251.96,3007.80,26.00
26250.73,3050.97,72.33
26250.87,3043.00,23.07
26239.42,3024.51,93.31
26236.60,3011.75,61.43
27196.96,4507.17,-258.82
26228.15,3017.82,9.51
26259.20,3045.37,66.22
26240.46,3026.07,98.23
26226.00,2997.21,74.79
26209.03,3043.26,302.61
26212.43,3021.70,3.67
26212.45,3053.88,101.93
26224.79,3032.08,77.98
26205.66,3028.11,-2.60
26222.63,3031.03,33.14
26229.07,3041.12,32.46
26220.45,3042.64,128.33
26223.63,3030.52,104.33
26234.41,3022.09,133.62
26202.05,3023.33,100.96
26214.61,3026.58,63.53
26209.47,3049.60,116.81
26204.57,3039.43,67.62
26199.80,3043.76,127.65
26207.59,3046.30,70.92
26189.66,3052.25,85.84
26239.41,3025.82,23.92
26214.39,3044.01,69.49
26224.33,3025.49,73.73
26214.75,3044.87,80.56
26218.15,3034.36,17.01
26229.84,3025.77,148.55
26198.66,3051.70,138.99
26206.84,3044.62,120.21
