x, y, z
26396.36,4297.90,24.85
26363.53,4248.40,28.95
26828.22,4060.65,61.73
26435.43,4467.89,-32.63
26370.82,4161.28,21.16
26697.32,4569.90,-73.48
26444.83,2951.11,228.59
26097.59,3025.40,46.72
26681.02,4556.03,57.34
26740.75,4584.34,-4.81
25895.27,3661.81,-125.08
27641.73,4452.43,18.61
26202.99,4134.26,43.31
26199.80,4004.85,22.57
26247.90,4110.53,-69.57
27940.04,3918.35,49.07
26254.25,4073.90,-141.06
26285.88,4210.21,-128.69
27710.93,4452.10,-104.42
26063.48,3840.94,128.90
26077.69,3102.17,-11.97
26610.04,2809.51,154.50
26045.74,3012.93,430.19
26435.87,4273.26,41.31
26463.47,4292.59,20.74
26407.59,4227.48,59.05
26837.84,2724.01,19.56
26823.89,2741.38,12.09
26826.69,2743.07,18.88
26147.12,4206.63,41.99
26797.82,2740.42,210.25
26029.45,3142.41,208.15
26006.62,3127.42,-271.26
26628.31,4202.57,10.68
26536.14,4539.40,-104.98
26557.76,4553.91,-33.26
26582.41,4640.84,-142.79
26239.55,4119.51,220.87
26225.26,3984.15,-28.15
27829.30,3995.34,-6.07
26375.96,4218.80,-90.05
28065.89,4048.12,241.23
26254.94,4104.55,-19.93
26433.73,4589.01,11.10
26454.86,4582.31,-20.78
27927.52,4052.11,35.61
26434.28,4263.16,119.32
27594.81,4492.63,129.27
26596.05,4442.67,178.03
26787.41,2566.13,57.46
26124.36,3891.86,-30.08
26382.24,4315.97,-60.78
27145.27,4743.75,-38.58
26719.04,2661.10,-30.85
26267.41,4167.36,-127.90
26406.78,4567.88,-285.24
28028.21,4175.70,255.06
26200.43,4263.04,95.81
26623.63,4510.11,265.72
26384.46,4383.85,81.07
26828.24,2703.89,34.05
26376.22,4308.02,-176.00
26931.54,2552.93,27.26
26361.86,4173.73,91.96
26360.17,4129.21,279.21
26360.04,4173.56,135.10
26982.52,2597.01,19.07
26299.25,4119.02,267.58
26289.92,4156.25,74.82
26630.95,2814.44,46.90
26262.13,4129.54,177.94
26895.97,2668.91,8.40
26331.97,4261.19,59.38
26285.45,4186.06,-15.56
27911.73,4135.25,-44.82
26313.83,4164.75,73.84
26961.66,4659.87,-45.49
26235.66,4260.20,-42.14
26908.82,2775.15,40.38
26896.78,2779.88,4.58
26321.35,4117.88,-102.19
26257.53,4142.22,-6.96
26257.28,4239.03,50.32
27774.84,3331.26,-177.14
26187.71,4220.59,143.48
26241.51,4224.95,48.58
26274.76,4233.45,-27.55
26293.47,4205.93,33.78
26331.61,4215.43,36.96
26273.29,4250.58,9.39
26253.96,4181.58,53.77
26249.66,4247.32,-139.70
26280.14,4188.84,198.64
26349.05,4189.27,-103.55
26324.35,3953.99,-64.81
26300.66,4130.56,98.36
27846.66,4328.76,144.01
26891.76,2773.98,-154.40
26314.61,2941.82,81.98
26312.19,2892.93,9.89
26336.82,2903.54,13.90
26836.29,4058.45,77.20
26321.86,4173.62,-73.38
26319.87,4204.76,46.54
27176.14,2723.75,81.67
27107.51,3208.64,71.86
25978.60,3258.35,152.97
26398.37,2983.51,213.88
26387.34,4387.13,-28.38
26441.60,4639.95,-45.37
27690.41,2918.02,-83.98
26263.86,2993.34,191.33
26552.23,2900.54,330.45
26663.91,4533.56,-126.14
26592.29,2790.28,31.35
26999.96,2615.80,279.64
26966.82,2611.87,26.94
26479.99,4556.31,18.87
26453.92,4634.65,-65.90
27892.13,3769.56,-115.80
26413.62,4646.69,9.05
26448.22,4619.81,0.80
26567.00,4386.42,44.85
26582.34,4276.28,1.45
26618.63,4339.75,-101.26
27532.77,4488.17,-120.87
26340.69,2933.97,21.38
27878.29,4317.92,-77.20
26330.19,4549.54,42.78
27847.29,4355.25,30.22
26364.97,4540.67,-49.07
26265.43,4604.72,10.59
26770.04,2757.73,-286.70
26499.44,4455.15,-95.39
26044.45,3239.93,31.56
26297.27,4581.80,73.15
27848.48,4324.41,12.29
26305.68,4559.47,-29.63
27855.70,4362.01,-142.44
27883.34,4311.22,-41.21
27838.16,4308.70,32.70
27843.07,4333.73,-129.24
26789.31,2750.98,69.87
26281.12,4426.54,-153.76
27735.06,4385.08,-22.54
26351.07,2895.40,47.95
26344.95,2879.26,62.96
27965.53,3691.12,288.09
26348.10,2912.18,84.90
27760.56,4445.37,-160.51
27493.56,4617.45,-91.90
27485.77,4616.70,-170.59
27476.17,4611.05,-73.04
27103.27,2678.84,52.37
27030.88,2709.39,70.24
26900.64,2770.69,34.59
27953.63,3718.95,-19.02
27940.27,4123.46,-117.88
27369.44,2816.03,-4.82
26265.69,3006.73,-21.06
26283.39,2925.61,-140.03
27723.48,4400.19,-158.84
27725.41,4381.64,-11.32
26038.85,3852.34,230.64
26106.20,3876.68,20.36
27676.09,4452.64,177.69
26410.01,4497.73,1.03
27672.70,4441.94,-20.31
26448.67,2853.60,37.62
26379.76,4237.74,11.11
26356.65,4544.65,122.25
26297.72,4569.52,11.11
26533.12,2808.18,114.59
27842.75,3146.49,-284.34
26582.35,2788.79,-119.69
26455.27,4406.00,93.23
26336.39,4550.51,34.77
26845.87,2722.35,20.92
26827.46,2742.27,17.15
26819.76,2752.98,66.61
27686.39,4427.22,27.53
26286.38,4567.04,20.92
26098.60,3020.04,103.32
26124.48,3034.91,74.03
26126.99,3022.60,68.15
26506.84,2841.21,-39.73
26390.21,4408.83,64.11
27455.25,2906.00,46.59
27509.73,2820.40,-160.65
25929.02,3580.07,-166.42
26320.75,4538.39,8.80
26353.54,4568.28,8.11
26597.92,4386.75,-3.25
26471.43,4030.45,212.72
26659.77,4423.70,-4.21
26660.28,4441.60,-20.78
26703.43,4491.97,-230.32
26326.22,2895.88,46.76
26463.12,4421.13,-24.70
27198.09,2787.35,209.93
26184.19,4261.65,300.02
26418.00,2862.39,78.26
27006.18,4019.08,32.63
26382.14,2865.79,99.83
27673.71,4469.02,-36.82
27674.76,4408.80,21.69
27672.49,4529.29,-183.86
26398.45,4525.54,16.51
26755.48,2770.80,71.38
26489.27,4359.87,39.70
26271.65,3886.68,31.10
26915.44,4185.79,-68.15
26552.12,4353.82,63.42
27733.48,4387.42,167.77
27753.55,4399.65,-49.32
27814.65,4372.24,135.82
26589.38,4539.38,142.95
27704.19,4384.09,9.32
26799.10,2578.45,121.05
27702.50,4365.28,47.79
27759.47,4395.50,77.02
26287.12,3005.88,150.95
26315.40,4582.01,28.64
26311.01,4567.28,29.68
26300.35,4570.93,-12.39
26326.66,4545.42,40.59
26483.10,4465.06,-91.03
27166.95,2742.70,14.37
27774.99,4292.98,-159.16
27820.65,4462.32,-179.92
27890.97,4311.77,15.60
26911.36,2853.35,-236.98
27224.11,4701.72,-21.72
26844.96,2635.00,162.36
26818.51,2612.40,45.92
27252.77,4654.84,19.17
26379.04,4310.01,-10.72
26436.58,4369.57,-30.23
26337.59,4271.46,-57.29
26528.46,4284.10,35.26
26844.92,2825.63,29.39
25941.91,3600.18,18.41
27889.13,4340.50,-62.80
26834.17,2747.40,-12.88
26823.93,2674.53,-77.63
26113.67,3005.62,21.44
26796.91,2756.19,39.03
26818.95,2777.56,36.90
26691.31,2868.71,-267.37
26490.43,2953.35,241.14
26375.08,4350.76,-4.18
27362.68,4413.76,-31.95
27713.22,4427.52,53.93
26643.88,4374.79,254.55
27688.41,4420.42,-10.25
27739.39,4452.36,19.45
27966.40,3961.69,-125.29
26231.96,3843.44,-173.47
26760.94,4532.68,25.35
26731.43,4483.70,4.78
27898.60,4366.72,-130.51
27585.89,3047.73,258.88
26617.54,2766.41,46.71
26624.25,4027.05,-76.34
26645.69,2781.55,40.32
26509.19,4317.89,-172.11
26664.13,4561.54,-24.75
26339.74,4557.53,33.93
27150.23,2780.85,37.89
27498.31,4593.82,49.65
27475.09,4648.94,183.11
27148.19,2793.84,57.56
26360.43,4624.52,-58.89
27929.81,4082.31,-188.48
26371.92,4630.16,-1.59
27017.29,4009.84,57.68
27006.99,4026.32,28.02
26431.93,2872.72,86.58
27830.94,4291.52,-135.32
27867.72,4298.57,-2.69
26858.57,4040.63,41.51
26822.10,2758.22,26.23
27972.86,3881.50,36.86
27924.27,3883.94,-15.32
26745.74,4502.99,-62.02
26629.31,4542.47,66.11
26647.33,4570.47,-3.54
26645.72,4483.53,63.54
27832.25,3242.29,-222.05
27349.10,4432.99,48.35
27910.85,4255.63,-171.68
27933.29,4111.34,-161.33
26406.01,4569.35,-16.32
26539.93,2803.47,65.31
26570.41,2804.41,33.92
27873.41,4340.84,-3.59
27970.42,3574.86,131.02
26995.03,4020.03,88.13
26116.45,3025.78,24.03
26310.93,2948.37,85.02
27868.91,4390.81,-288.93
27154.54,4738.72,-184.33
26099.24,3088.65,28.91
26873.52,2592.43,-3.95
26220.85,3037.80,235.12
26526.26,4470.83,27.83
26866.77,2595.17,-82.63
26590.41,4082.08,51.82
26630.93,4048.43,11.21
26644.20,4060.59,15.93
26941.28,2584.08,28.98
26440.46,4560.09,-41.08
26644.14,2817.62,-254.52
26774.76,4087.15,23.88
27476.42,2932.49,-75.20
26719.48,4490.76,-77.23
26646.17,2626.98,-133.12
26530.24,4599.60,-21.95
27228.74,4703.87,1.33
27698.65,4400.31,62.64
27736.44,4409.76,37.91
27706.26,4442.27,110.72
26600.57,4567.51,-109.80
27920.81,3838.89,-53.54
27894.51,3788.22,-114.72
26757.90,2745.87,41.65
26776.40,2728.11,54.40
26776.07,2729.85,-9.11
26700.88,2772.96,56.34
26717.20,2766.80,94.43
26068.65,3087.05,112.34
26106.57,3072.61,46.21
27921.82,3843.91,-117.33
27947.43,3783.46,-36.34
27868.43,4267.39,-118.09
27642.71,3796.23,-61.43
27587.47,3010.45,-84.03
26412.23,2834.22,35.79
26392.38,2895.68,297.59
26888.65,4663.23,-27.88
26897.41,4654.97,40.78
27443.79,2695.51,46.14
26556.96,2862.74,200.22
26828.56,4041.66,56.57
27564.02,2958.95,-209.36
26824.62,2778.70,10.39
26832.68,2760.17,19.73
26992.86,2787.07,265.32
26820.72,2763.55,70.69
26108.35,3097.14,229.57
26118.38,3090.55,109.28
26880.29,4686.91,-34.78
26701.22,2615.46,-158.21
26632.66,4088.11,40.68
26079.72,3838.87,245.67
26276.30,3002.60,71.64
27460.77,4480.44,25.91
26817.53,2967.36,54.16
26744.56,2797.13,75.46
27920.17,3714.71,-200.56
27732.25,4401.77,-130.67
27753.88,4373.73,-28.75
26363.77,2911.26,70.17
27044.77,2709.14,14.10
26629.71,4344.86,-6.62
27942.53,3494.07,-68.57
26651.45,4067.45,47.08
27289.32,3495.43,28.77
27699.18,4449.77,96.54
28036.32,4064.86,247.44
26627.65,2808.68,47.43
26876.41,4585.88,-31.73
27688.82,4370.66,45.26
27106.14,4681.71,78.17
27081.07,4697.38,26.92
26560.89,2783.75,24.56
26582.90,2793.60,43.89
26500.69,4329.65,49.17
27934.71,4188.70,-145.56
27550.87,4561.59,94.20
26722.81,2818.93,-203.56
26328.60,4357.89,46.57
26308.43,4356.49,-6.06
26034.02,3146.52,252.16
26046.08,3237.55,-44.53
27749.77,4403.88,72.95
26170.08,3951.07,45.29
26186.39,3967.70,108.01
26420.28,4299.90,-46.97
27974.14,3626.51,-147.04
26929.62,2598.20,78.77
26260.29,3042.72,46.92
27973.09,4160.63,52.93
26569.78,4501.71,293.79
26767.23,2582.88,22.63
26462.05,4388.02,65.07
26556.98,2765.84,12.15
28065.47,3562.67,230.03
26108.87,3056.81,97.94
26950.78,4602.39,11.92
26972.62,2560.54,59.84
27626.42,3057.93,50.64
26377.00,2893.82,67.02
26078.60,3853.74,62.52
26592.80,2806.94,64.07
26603.89,2810.59,38.25
26056.62,3848.91,-60.58
26573.43,4304.49,23.29
26903.85,4529.93,16.23
27810.74,4345.71,36.83
26695.43,2850.60,62.48
26817.36,4091.02,112.62
26773.63,4078.53,143.50
25931.50,3900.29,-169.62
26434.81,4611.35,-283.63
27903.24,4292.91,74.48
27670.64,4418.96,-9.06
26284.01,2952.61,57.66
26300.23,2953.66,45.06
26294.11,2952.63,-6.57
26221.52,2929.59,127.62
26316.13,4596.94,-58.81
26749.88,4637.96,25.99
26767.15,4649.93,-30.31
26775.89,4668.50,-134.69
27724.53,4453.87,214.04
26403.60,4291.10,-101.71
26411.75,2864.47,79.06
26417.48,2885.31,33.48
26427.32,2874.84,63.29
26431.01,2884.80,27.97
26441.73,2869.68,43.53
26428.62,2877.32,40.56
26410.93,2862.88,28.26
26408.01,2888.01,52.26
26411.35,2877.02,67.75
26665.55,4514.29,-191.88
26250.89,3024.11,187.85
26068.67,3148.32,105.22
25952.54,3641.44,33.25
26832.37,2772.41,66.99
26295.56,3019.04,70.34
27440.13,2923.70,65.54
27199.67,4778.38,-69.33
27870.55,4346.85,-18.88
27926.32,3832.83,-167.22
26810.54,2783.65,-6.11
26699.80,2854.00,167.80
26818.65,2776.17,56.33
26837.68,2769.05,45.94
27946.88,3712.49,-73.00
26803.27,2766.73,135.56
27460.64,2910.45,9.16
25960.48,3325.87,158.42
25947.09,3327.64,206.42
27119.64,3194.52,27.23
27191.83,4768.60,-39.17
27155.75,4800.42,-140.28
26076.46,2996.56,158.82
26439.21,4505.58,201.38
27136.52,2726.65,46.19
26525.75,4544.10,52.58
26754.18,2782.09,191.26
26806.83,2767.40,97.20
26829.08,2774.79,27.85
26807.83,2779.04,192.09
26832.18,2765.41,34.51
26837.63,2752.35,24.20
26409.20,2857.84,26.32
26344.87,3023.71,-50.93
27361.95,4417.29,-136.00
27912.50,3726.37,95.77
26672.55,4641.96,-115.99
26691.90,4625.43,-77.92
26828.55,2780.82,48.74
26813.17,2766.77,16.73
26831.43,2768.16,26.31
26814.80,2750.77,41.25
26473.32,4302.17,-47.12
26423.80,2872.94,37.49
26419.95,2868.89,64.44
26461.51,4365.40,13.17
26447.55,4486.55,-27.60
28039.04,4113.67,-40.65
26922.61,2781.46,79.46
26884.41,2803.63,105.36
26888.61,2781.57,75.86
26593.92,4477.36,30.00
26800.57,3020.89,44.30
26385.05,2853.13,-82.10
26445.03,4400.98,-237.47
26423.23,4414.49,25.48
26515.66,4443.72,48.89
26678.85,2850.09,54.72
26695.89,2848.86,28.86
27890.00,4363.83,171.41
27886.61,4368.79,-91.80
26334.05,4440.44,-157.99
27935.26,3249.60,-63.89
26284.85,3028.20,103.25
26807.41,3012.40,94.46
26781.54,3003.21,138.11
25903.60,3949.96,-147.22
27082.01,3200.37,68.64
26308.14,4438.62,-77.78
26420.24,4472.02,44.01
27909.06,4368.54,-62.21
28006.19,3913.79,189.65
27225.19,4816.56,-236.27
26681.36,4469.14,221.28
26872.48,4515.94,11.45
27505.28,2884.00,-289.33
26329.71,4345.03,25.65
28067.44,3712.75,272.42
26551.37,4622.84,-113.21
26544.90,4550.15,-91.90
27818.60,4406.02,-52.47
26053.92,3115.70,207.06
26075.50,3130.42,90.98
26959.30,2573.62,208.09
26282.67,2959.28,42.75
26281.22,2963.14,122.16
26776.96,4623.23,-90.63
25966.86,4012.01,-10.63
26814.52,4700.65,-245.20
28024.56,3731.18,219.77
27829.01,4314.98,20.48
26852.19,2745.92,-8.97
26827.38,2761.47,216.54
27895.93,4359.51,-33.32
26830.54,2722.24,-14.46
26829.46,2744.82,32.82
26842.23,2768.32,25.99
27881.36,4356.74,-129.57
26794.57,2751.95,209.62
27893.57,4253.92,-22.34
26840.26,2758.26,16.09
26823.91,2772.17,97.88
26808.36,2734.92,182.40
26819.29,2786.92,109.51
